,DateTime,Close,High,Low,Volume,Bid Price,Ask Price
322,2023-02-02 14:22:00,148.23,148.23,148.23,200,148.28,148.28
323,2023-02-02 14:23:00,148.39,148.39,148.3,944,148.4,148.4
324,2023-02-02 14:24:00,148.4,148.4,148.35,800,148.5,148.5
325,2023-02-02 14:25:00,148.34,148.41,148.34,200,148.35,148.35
326,2023-02-02 14:26:00,148.34,148.34,148.34,100,148.43,148.43
327,2023-02-02 14:27:00,148.32,148.35,148.32,300,148.5,148.5
328,2023-02-02 14:28:00,148.7,148.7,148.4,5031,148.73,148.73
329,2023-02-02 14:29:00,148.95,148.99,148.75,2500,148.95,148.95
330,2023-02-02 14:30:00,149.32,149.42,148.72,154831,149.34,149.34
331,2023-02-02 14:31:00,148.83,149.44,148.83,50273,148.86,148.86
332,2023-02-02 14:32:00,149.27,149.45,148.77,32160,149.29,149.29
333,2023-02-02 14:33:00,149.46,149.46,149.06,45973,149.46,149.46
334,2023-02-02 14:34:00,149.13,149.47,148.95,64665,149.15,149.15
335,2023-02-02 14:35:00,149.0,149.36,148.94,52492,149.0,149.0
336,2023-02-02 14:36:00,149.09,149.22,148.94,60346,149.11,149.11
337,2023-02-02 14:37:00,149.12,149.17,149.03,44724,149.13,149.13
338,2023-02-02 14:38:00,149.05,149.16,148.96,46889,149.05,149.05
339,2023-02-02 14:39:00,149.12,149.17,149.01,34375,149.13,149.13
340,2023-02-02 14:40:00,149.13,149.17,149.09,53005,149.13,149.13
341,2023-02-02 14:41:00,149.19,149.38,149.1,41183,149.19,149.19
342,2023-02-02 14:42:00,149.43,149.5,149.17,68131,149.43,149.43
343,2023-02-02 14:43:00,149.25,149.44,149.14,34770,149.24,149.24
344,2023-02-02 14:44:00,149.1,149.37,149.06,30880,149.09,149.09
345,2023-02-02 14:45:00,148.99,149.1,148.87,31541,148.98,148.98
346,2023-02-02 14:46:00,149.05,149.09,148.82,26525,149.05,149.05
347,2023-02-02 14:47:00,149.34,149.38,148.97,30347,149.35,149.35
348,2023-02-02 14:48:00,149.27,149.51,149.19,52591,149.33,149.33
349,2023-02-02 14:49:00,149.29,149.4,149.25,19530,149.29,149.29
350,2023-02-02 14:50:00,149.23,149.4,149.06,31318,149.25,149.25
351,2023-02-02 14:51:00,148.98,149.24,148.89,35109,148.98,148.98
352,2023-02-02 14:52:00,149.08,149.16,148.81,20044,149.07,149.07
353,2023-02-02 14:53:00,148.9,149.05,148.87,22260,148.9,148.9
354,2023-02-02 14:54:00,148.84,148.99,148.81,25972,148.87,148.87
355,2023-02-02 14:55:00,148.66,148.86,148.57,27095,148.66,148.66
356,2023-02-02 14:56:00,148.62,148.78,148.54,15406,148.64,148.64
357,2023-02-02 14:57:00,148.57,148.61,148.47,24067,148.58,148.58
358,2023-02-02 14:58:00,148.54,148.65,148.4,20072,148.54,148.54
359,2023-02-02 14:59:00,148.6,148.6,148.36,23160,148.6,148.6
360,2023-02-02 15:00:00,148.78,148.81,148.44,37613,148.78,148.78
361,2023-02-02 15:01:00,149.0,149.03,148.71,54105,148.99,148.99
362,2023-02-02 15:02:00,148.79,148.97,148.79,38277,148.81,148.81
363,2023-02-02 15:03:00,148.84,148.97,148.77,18661,148.82,148.82
364,2023-02-02 15:04:00,148.82,148.99,148.8,18028,148.83,148.83
365,2023-02-02 15:05:00,148.7,148.8,148.59,23304,148.73,148.73
366,2023-02-02 15:06:00,148.75,148.96,148.67,20967,148.73,148.73
367,2023-02-02 15:07:00,148.7,148.74,148.55,25326,148.71,148.71
368,2023-02-02 15:08:00,148.58,148.69,148.5,27665,148.59,148.59
369,2023-02-02 15:09:00,148.38,148.54,148.28,23555,148.37,148.37
370,2023-02-02 15:10:00,148.43,148.49,148.18,27942,148.44,148.44
371,2023-02-02 15:11:00,148.33,148.58,148.29,28735,148.35,148.35
372,2023-02-02 15:12:00,148.53,148.63,148.35,17931,148.54,148.54
373,2023-02-02 15:13:00,148.45,148.67,148.39,16463,148.49,148.49
374,2023-02-02 15:14:00,148.61,148.69,148.4,9616,148.65,148.65
375,2023-02-02 15:15:00,148.41,148.7,148.4,15716,148.42,148.42
376,2023-02-02 15:16:00,148.43,148.63,148.35,17963,148.44,148.44
377,2023-02-02 15:17:00,148.67,148.71,148.43,20070,148.68,148.68
378,2023-02-02 15:18:00,148.75,148.79,148.61,16432,148.77,148.77
379,2023-02-02 15:19:00,148.82,148.84,148.63,18404,148.8,148.8
380,2023-02-02 15:20:00,148.59,148.82,148.47,30608,148.6,148.6
381,2023-02-02 15:21:00,148.88,148.95,148.6,35482,148.87,148.87
382,2023-02-02 15:22:00,148.86,148.88,148.75,14446,148.88,148.88
383,2023-02-02 15:23:00,148.88,148.97,148.81,16704,148.89,148.89
384,2023-02-02 15:24:00,148.73,148.9,148.73,15403,148.74,148.74
385,2023-02-02 15:25:00,148.83,148.88,148.68,12894,148.87,148.87
386,2023-02-02 15:26:00,148.93,149.0,148.78,30294,148.93,148.93
387,2023-02-02 15:27:00,148.89,148.96,148.82,8590,148.9,148.9
388,2023-02-02 15:28:00,148.96,148.96,148.82,8742,148.96,148.96
389,2023-02-02 15:29:00,148.96,149.06,148.9,19787,148.98,148.98
390,2023-02-02 15:30:00,149.27,149.28,148.95,41060,149.28,149.28
391,2023-02-02 15:31:00,149.4,149.41,149.16,26093,149.42,149.42
392,2023-02-02 15:32:00,149.49,149.5,149.36,34910,149.5,149.5
393,2023-02-02 15:33:00,149.48,149.51,149.41,30400,149.5,149.5
394,2023-02-02 15:34:00,149.58,149.6,149.41,30830,149.58,149.58
395,2023-02-02 15:35:00,149.5,149.57,149.42,18177,149.51,149.51
396,2023-02-02 15:36:00,149.45,149.62,149.43,16100,149.48,149.48
397,2023-02-02 15:37:00,149.42,149.47,149.36,16878,149.43,149.43
398,2023-02-02 15:38:00,149.45,149.52,149.39,22040,149.47,149.47
399,2023-02-02 15:39:00,149.52,149.53,149.39,27161,149.52,149.52
400,2023-02-02 15:40:00,149.69,149.73,149.48,31187,149.68,149.68
